Doc,Topic,Score,Title
Doc16,Topic5,0.084,Chanticleer 3. HOW PARTLET DIED AND WAS BURIED, AND HOW CHANTICLEER DIED OF GRIEF
Doc16,Topic4,0.509,Chanticleer 3. HOW PARTLET DIED AND WAS BURIED, AND HOW CHANTICLEER DIED OF GRIEF
Doc16,Topic6,0.084,Chanticleer 3. HOW PARTLET DIED AND WAS BURIED, AND HOW CHANTICLEER DIED OF GRIEF
Doc17,Topic10,0.101,RAPUNZEL
Doc17,Topic1,0.166,RAPUNZEL
Doc17,Topic2,0.108,RAPUNZEL
Doc17,Topic5,0.351,RAPUNZEL
Doc17,Topic4,0.054,RAPUNZEL
Doc17,Topic8,0.082,RAPUNZEL
Doc18,Topic9,0.688,FUNDEVOGEL
Doc18,Topic5,0.092,FUNDEVOGEL
Doc19,Topic10,0.076,THE VALIANT LITTLE TAILOR
Doc19,Topic2,0.052,THE VALIANT LITTLE TAILOR
Doc19,Topic5,0.065,THE VALIANT LITTLE TAILOR
Doc19,Topic6,0.127,THE VALIANT LITTLE TAILOR
Doc19,Topic9,0.172,THE VALIANT LITTLE TAILOR
Doc19,Topic8,0.370,THE VALIANT LITTLE TAILOR
Doc20,Topic3,0.065,HANSEL AND GRETEL
Doc20,Topic5,0.273,HANSEL AND GRETEL
Doc20,Topic4,0.055,HANSEL AND GRETEL
Doc20,Topic7,0.123,HANSEL AND GRETEL
Doc20,Topic6,0.051,HANSEL AND GRETEL
Doc20,Topic9,0.200,HANSEL AND GRETEL
Doc20,Topic8,0.140,HANSEL AND GRETEL
Doc21,Topic3,0.095,THE MOUSE, THE BIRD, AND THE SAUSAGE
Doc21,Topic2,0.083,THE MOUSE, THE BIRD, AND THE SAUSAGE
Doc21,Topic5,0.221,THE MOUSE, THE BIRD, AND THE SAUSAGE
Doc21,Topic4,0.055,THE MOUSE, THE BIRD, AND THE SAUSAGE
Doc21,Topic7,0.225,THE MOUSE, THE BIRD, AND THE SAUSAGE
Doc21,Topic6,0.051,THE MOUSE, THE BIRD, AND THE SAUSAGE
Doc21,Topic9,0.067,THE MOUSE, THE BIRD, AND THE SAUSAGE
Doc21,Topic8,0.111,THE MOUSE, THE BIRD, AND THE SAUSAGE
Doc22,Topic1,0.053,MOTHER HOLLE
Doc22,Topic3,0.210,MOTHER HOLLE
Doc22,Topic5,0.060,MOTHER HOLLE
Doc22,Topic4,0.069,MOTHER HOLLE
Doc22,Topic6,0.050,MOTHER HOLLE
Doc22,Topic9,0.401,MOTHER HOLLE
Doc22,Topic8,0.088,MOTHER HOLLE
Doc23,Topic10,0.054,LITTLE RED-CAP [LITTLE RED RIDING HOOD]
Doc23,Topic3,0.085,LITTLE RED-CAP [LITTLE RED RIDING HOOD]
